Treatment,Crab #,Stage,CL ,Date,Exp Day Wet Mass,Wet Mass,Exp Day of Molt,Dday,Intermolt period (Ddays)
pH7.8,1,Initial,2.245927,2010-06-17 00:00:00,0,0.0076,,,
pH7.8,1,1st,2.598852,2010-06-20 00:00:00,10,0.0108,3,26.42,
pH7.8,1,2nd,2.682257,2010-08-16 00:00:00,67,0.0108,60,592.413333,565.993333
pH7.8,1,3rd,2.915255,2010-09-20 00:00:00,102,0.0138,95,984.428381,392.015048
pH7.8,1,4th,3.31316,2010-10-28 00:00:00,140,0.0195,133,1371.268381,386.84000000000015
pH7.8,1,5th,3.811812,2010-12-17 00:00:00,190,0.0293,183,1706.278381,335.01
pH7.8,2,Initial,2.150121,2010-06-17 00:00:00,0,0.0068,,,
pH7.8,2,1st,2.506725,2010-06-19 00:00:00,9,0.0091,2,17.306667,
pH7.8,2,2nd,2.684003,2010-08-16 00:00:00,67,0.0106,60,592.413333,575.106666
pH7.8,2,3rd,2.901627,2010-09-26 00:00:00,108,0.0146,101,1052.478381,460.06504799999993
pH7.8,3,Initial,2.529562,2010-06-17 00:00:00,0,0.0087,,,
pH7.8,3,1st,,2010-08-03 00:00:00,54,0.0087,47,454.853333,
pH7.8,3,2nd,,2010-09-14 00:00:00,96,0.0109,89,914.695048,459.841715
pH7.8,3,3rd,,2010-10-25 00:00:00,137,0.0121,130,1344.938381,430.2433329999999
pH7.8,4,Initial,2.13634,2010-06-17 00:00:00,0,0.0062,,,
pH7.8,5,Initial,2.095461,2010-06-17 00:00:00,0,0.0083,,,
pH7.8,6,Initial,2.094011,2010-06-17 00:00:00,0,0.0066,,,
pH7.8,6,1st,2.397095,2010-06-22 00:00:00,12,0.008,5,45.333333,
pH7.8,6,2nd,2.429394,2010-09-09 00:00:00,91,0.0082,84,856.839333,811.506
pH7.8,6,3rd,2.636856,2010-11-08 00:00:00,151,0.0088,144,1462.718381,605.8790479999999
pH7.8,7,Initial,2.204339,2010-06-17 00:00:00,0,0.0065,,,
pH7.8,7,1st,2.615927,2010-06-18 00:00:00,8,0.0111,1,8.673333,
pH7.8,7,2nd,2.870021,2010-08-23 00:00:00,74,0.0096,67,669.54,660.866667
pH7.8,7,3rd,3.257768,2010-09-29 00:00:00,111,0.0128,104,1086.488381,416.9483809999999
pH7.8,7,4th,,2010-11-07 00:00:00,150,0.0174,143,1454.938381,368.45000000000005
pH7.8,8,Initial,2.11465,2010-06-17 00:00:00,0,0.006,,,
pH7.8,9,Initial,2.769643,2010-06-17 00:00:00,0,0.0115,,,
pH7.8,10,Initial,2.195172,2010-06-17 00:00:00,0,0.0068,,,
pH7.8,11,Initial,2.13519,2010-06-17 00:00:00,0,0.0062,,,
pH7.8,12,Initial,2.386131,2010-06-17 00:00:00,0,0.0062,,,
pH7.8,12,1st,2.427266,2010-08-05 00:00:00,56,0.0081,49,476.153333,
pH7.8,12,2nd,2.682619,2010-09-16 00:00:00,98,0.0113,91,938.308381,462.1550480000001
pH7.8,12,3rd,3.094602,2010-10-18 00:00:00,130,0.0166,123,1282.498381,344.19000000000005
pH7.8,12,4th,3.568946,2010-11-30 00:00:00,173,0.0243,166,1610.308381,327.80999999999995
pH7.8,13,Initial,2.602717,2010-06-17 00:00:00,0,0.0095,,,
pH7.8,14,Initial,2.197557,2010-06-17 00:00:00,0,0.007,,,
pH7.8,14,1st,2.513618,2010-06-19 00:00:00,9,0.0092,2,17.306667,
pH7.8,14,2nd,2.555549,2010-08-30 00:00:00,81,0.0107,74,744.833333,727.5266660000001
pH7.8,14,3rd,2.918811,2010-09-30 00:00:00,112,0.0148,105,1097.748381,352.91504800000007
pH7.8,14,4th,3.035711,2010-11-02 00:00:00,145,0.0148,138,1414.308381,316.55999999999995
pH7.8,15,Initial,2.146071,2010-06-17 00:00:00,0,0.0066,,,
pH7.8,15,1st,2.469869,2010-06-19 00:00:00,9,0.009,2,17.306667,
pH7.8,15,2nd,2.614357,2010-09-01 00:00:00,83,0.0123,76,766.972667,749.666
pH7.8,15,3rd,2.723108,2010-11-11 00:00:00,154,0.0101,147,1485.878381,718.905714
pH7.8,16,Initial,2.222992,2010-06-17 00:00:00,0,0.0061,,,
pH7.8,17,Initial,2.174482,2010-06-17 00:00:00,0,0.0067,,,
pH7.8,18,Initial,2.510808,2010-06-17 00:00:00,0,0.0092,,,
pH7.8,18,1st,2.580429,2010-08-06 00:00:00,57,0.0102,50,486.846667,
pH7.8,18,2nd,2.632661,2010-09-22 00:00:00,104,0.0092,97,1007.148381,520.301714
pH7.8,18,3rd,2.965189,2010-10-29 00:00:00,141,0.0145,134,1380.048381,372.9000000000001
pH7.8,18,4th,3.463837,2010-12-15 00:00:00,188,0.0231,181,1694.868381,314.81999999999994
pH7.8,19,Initial,2.546613,2010-06-17 00:00:00,0,0.0082,,,
pH7.8,20,Initial,2.547972,2010-06-17 00:00:00,0,0.0087,,,
pH7.8,21,Initial,2.559365,2010-06-17 00:00:00,0,0.0091,,,
pH7.8,22,Initial,2.143078,2010-06-17 00:00:00,0,0.0056,,,
pH7.8,22,1st,2.490016,2010-06-19 00:00:00,9,0.0086,2,17.306667,
pH7.8,22,2nd,,2010-08-11 00:00:00,62,0.0094,55,539.353333,522.0466660000001
pH7.8,22,3rd,2.852497,2010-09-19 00:00:00,101,0.0124,94,972.888381,433.53504799999996
pH7.8,22,4th,3.000091,2010-10-27 00:00:00,139,0.0144,132,1362.428381,389.53999999999996
pH7.8,22,5th,3.463897,2010-12-17 00:00:00,190,0.0188,183,1706.278381,343.85000000000014
pH7.8,23,Initial,2.181544,2010-06-17 00:00:00,0,0.0046,,,
pH7.8,23,1st,2.583863,2010-06-18 00:00:00,8,0.0101,1,8.673333,
pH7.8,23,2nd,2.689551,2010-08-30 00:00:00,81,0.0115,74,744.833333,736.1600000000001
pH7.8,23,3rd,2.768192,2010-10-14 00:00:00,126,0.012,119,1243.928381,499.0950479999999
pH7.8,23,4th,3.307593,2010-12-01 00:00:00,174,0.0188,167,1616.438381,372.51
pH7.8,24,Initial,2.173896,2010-06-17 00:00:00,0,0.0058,,,
pH7.8,24,1st,2.551101,2010-06-18 00:00:00,8,0.0098,1,8.673333,
pH7.8,24,2nd,2.611129,2010-08-17 00:00:00,68,0.0108,61,603.22,594.5466670000001
pH7.8,24,3rd,2.811967,2010-09-24 00:00:00,106,0.0123,99,1029.748381,426.5283810000001
pH7.8,24,4th,3.508066,2010-11-06 00:00:00,149,0.0173,142,1447.118381,417.3699999999999
pH7.8,25,Initial,2.14657,2010-06-17 00:00:00,0,0.0065,,,
pH7.8,26,Initial,2.163014,2010-06-17 00:00:00,0,0.0062,,,
pH7.8,27,Initial,2.153283,2010-06-17 00:00:00,0,0.0062,,,
pH7.8,27,1st,2.530462,2010-06-18 00:00:00,8,0.0099,1,8.673333,
pH7.8,27,2nd,2.688673,2010-08-12 00:00:00,63,0.0105,56,549.866667,541.193334
pH7.8,27,3rd,2.913019,2010-10-02 00:00:00,114,0.0103,107,1120.008381,570.1417140000001
pH7.8,28,Initial,2.175724,2010-06-17 00:00:00,0,0.0069,0,,
pH7.8,28,1st,2.502421,2010-06-22 00:00:00,11,0.0083,4,35.786667,
pH7.8,28,2nd,2.645179,2010-08-13 00:00:00,64,0.0101,57,560.446667,524.6600000000001
pH7.8,28,3rd,2.848821,2010-09-16 00:00:00,99,0.0132,92,949.875048,389.42838099999994
pH7.8,28,4th,3.122507,2010-10-26 00:00:00,138,0.0164,131,1353.648381,403.773333
pH7.8,28,5th,3.711326,,197,,190,1743.578381,389.93000000000006
pH7.8,29,Initial,2.031859,2010-06-17 00:00:00,0,0.0076,,,
pH7.8,29,1st,2.278834,2010-06-20 00:00:00,10,0.006,3,26.42,
pH7.8,29,2nd,2.420463,2010-08-22 00:00:00,73,0.0077,66,658.78,632.36
pH7.8,29,3rd,2.480942,2010-10-04 00:00:00,116,0.0073,109,1141.268381,482.4883810000001
pH7.8,30,Initial,2.080005,2010-06-17 00:00:00,0,0.0075,,,
Control,1,Initial,2.103779,2010-06-17 00:00:00,0,0.0082,,,
Control,2,Initial,2.107879,2010-06-17 00:00:00,0,0.0063,,,
Control,2,1st,2.482037,2010-06-19 00:00:00,9,0.0095,2,17.306667,
Control,2,2nd,2.608836,2010-08-18 00:00:00,69,0.0094,62,614.113333,596.8066660000001
Control,2,3rd,,2010-09-24 00:00:00,106,0.0128,99,1029.748381,415.6350480000001
Control,2,4th,2.938903,2010-11-12 00:00:00,155,0.012,148,1493.308381,463.55999999999995
Control,3,Initial,2.478233,2010-06-17 00:00:00,0,0.0079,,,
Control,3,1st,2.625002,2010-08-14 00:00:00,65,0.0102,58,571.046667,
Control,3,2nd,2.920131,2010-09-20 00:00:00,102,0.0142,95,984.428381,413.381714
Control,3,3rd,3.201338,2010-10-28 00:00:00,140,0.0169,133,1371.268381,386.84000000000015
Control,4,Initial,2.227789,2010-06-17 00:00:00,0,0.0073,,,
Control,5,Initial,2.171807,2010-06-17 00:00:00,0,0.007,,,
Control,5,1st,2.321057,2010-06-22 00:00:00,12,0.0088,5,45.333333,
Control,5,2nd,2.503316,2010-08-19 00:00:00,70,0.0089,63,625.22,579.886667
Control,5,3rd,2.705598,2010-09-18 00:00:00,100,0.0122,93,961.388381,336.16838099999995
Control,5,4th,3.011784,2010-10-28 00:00:00,140,0.0158,133,1371.268381,409.8800000000001
Control,6,Initial,2.176187,2010-06-17 00:00:00,0,0.0088,,,
Control,6,1st,2.671367,2010-06-19 00:00:00,9,0.0121,2,17.306667,
Control,6,2nd,2.774774,2010-08-14 00:00:00,65,0.0126,58,571.046667,553.74
Control,6,3rd,3.089343,2010-09-18 00:00:00,100,0.0172,93,961.388381,390.341714
Control,6,4th,3.378456,2010-10-31 00:00:00,143,0.0228,136,1397.298381,435.9100000000001
Control,7,Initial,2.272315,2010-06-17 00:00:00,0,0.0083,,,
Control,7,1st,2.613813,2010-06-19 00:00:00,9,0.0177,2,17.306667,
Control,7,2nd,2.783094,2010-08-16 00:00:00,67,0.0131,60,592.413333,575.106666
Control,7,3rd,3.066526,2010-09-27 00:00:00,109,0.0158,102,1063.808381,471.3950480000001
Control,7,4th,3.346316,2010-11-19 00:00:00,162,0.0198,155,1541.948381,478.1399999999999
Control,8,Initial,2.064142,2010-06-17 00:00:00,0,0.0055,,,
Control,8,1st,2.373198,2010-06-19 00:00:00,9,0.0085,2,17.306667,
Control,8,2nd,2.601025,2010-08-13 00:00:00,64,0.0104,57,560.446667,543.1400000000001
Control,8,3rd,2.735165,2010-09-16 00:00:00,98,0.0124,91,938.308381,377.861714
Control,8,4th,3.027613,2010-10-23 00:00:00,135,0.0155,128,1327.538381,389.23
Control,8,5th,3.485172,2010-12-17 00:00:00,190,0.0255,183,1706.278381,378.74
Control,9,Initial,2.120393,2010-06-17 00:00:00,0,0.0072,,,
Control,10,Initial,2.096881,2010-06-17 00:00:00,0,0.0065,,,
Control,10,1st,2.357647,2010-06-22 00:00:00,12,0.0098,5,45.333333,
Control,10,2nd,2.608885,2010-08-16 00:00:00,67,0.0108,60,592.413333,547.0799999999999
Control,10,3rd,2.754881,2010-09-30 00:00:00,112,0.013,105,1097.748381,505.33504800000014
Control,10,4th,3.13633,2010-11-10 00:00:00,153,0.014,146,1478.188381,380.4399999999998
Control,11,Initial,1.983114,2010-06-17 00:00:00,0,0.0057,,,
Control,12,Initial,2.084384,2010-06-17 00:00:00,0,0.0058,,,
Control,12,1st,2.44343,2010-06-20 00:00:00,10,0.0115,3,26.42,
Control,12,2nd,2.612919,2010-08-15 00:00:00,66,0.0108,59,581.74,555.32
Control,12,3rd,2.762297,2010-09-20 00:00:00,102,0.013,95,984.428381,402.68838099999994
Control,12,4th,3.242071,2010-10-22 00:00:00,134,0.0203,127,1318.768381,334.34000000000015
Control,12,5th,3.858947,2010-12-07 00:00:00,180,0.0328,173,1652.008381,333.24
Control,13,Initial,2.109995,2010-06-17 00:00:00,0,0.0066,,,
Control,13,1st,2.506533,2010-06-20 00:00:00,10,0.0116,3,26.42,
Control,13,2nd,2.566951,2010-08-19 00:00:00,70,0.0101,63,625.22,598.8000000000001
Control,13,3rd,2.817216,2010-09-23 00:00:00,105,,98,1018.418381,393.1983809999999
Control,13,4th,3.172993,2010-10-23 00:00:00,135,0.0187,128,1327.538381,309.1200000000001
Control,13,5th,3.785933,2010-12-04 00:00:00,177,0.0312,170,1634.728381,307.1899999999998
Control,14,Initial,2.19211,2010-06-17 00:00:00,0,0.007,,,
Control,14,1st,2.488312,2010-06-22 00:00:00,12,0.0095,5,45.333333,
Control,14,2nd,2.681546,2010-08-16 00:00:00,67,0.0109,60,592.413333,547.0799999999999
Control,14,3rd,2.983465,2010-09-21 00:00:00,103,0.0162,96,995.828381,403.41504800000007
Control,14,4th,4.1288,2010-10-26 00:00:00,138,0.0209,131,1353.648381,357.81999999999994
Control,15,Initial,2.162208,2010-06-17 00:00:00,0,0.0068,,,
Control,16,Initial,2.127598,2010-06-17 00:00:00,0,0.0051,,,
Control,16,1st,2.280384,2010-07-02 00:00:00,22,0.0055,15,138.646667,
Control,16,2nd,2.462336,2010-08-28 00:00:00,79,0.0092,72,722.846667,584.2
Control,16,3rd,2.707097,2010-10-07 00:00:00,119,0.01,112,1172.528381,449.68171400000006
Control,16,4th,3.002077,2010-11-22 00:00:00,165,0.0134,158,1562.258381,389.73
Control,17,Initial,2.076826,2010-06-17 00:00:00,0,0.0054,,,
Control,17,1st,,2010-06-18 00:00:00,8,0.0064,1,8.673333,
Control,17,2nd,,2010-08-16 00:00:00,67,0.0097,60,592.413333,583.74
Control,17,3rd,,2010-09-26 00:00:00,108,0.0095,101,1052.478381,460.06504799999993
Control,18,Initial,2.150284,2010-06-17 00:00:00,0,0.0055,,,
Control,19,Initial,2.631239,2010-06-17 00:00:00,0,0.0094,,,
Control,19,1st,2.798458,2010-08-10 00:00:00,61,0.0118,54,528.833333,
Control,19,2nd,2.982843,2010-09-18 00:00:00,100,0.0147,93,961.388381,432.55504799999994
Control,19,3rd,3.40797,2010-10-24 00:00:00,136,0.02,129,1336.258381,374.8700000000001
Control,20,Initial,2.61684,2010-06-17 00:00:00,0,0.0088,,,
Control,21,Initial,2.143847,2010-06-17 00:00:00,0,0.006,,,
Control,22,Initial,2.166585,2010-06-17 00:00:00,0,0.0067,,,
Control,22,1st,2.493237,2010-06-22 00:00:00,12,0.0097,5,45.333333,
Control,22,2nd,2.681095,2010-08-21 00:00:00,72,0.0114,65,647.48,602.146667
Control,22,3rd,2.898625,2010-09-26 00:00:00,108,0.016,101,1052.478381,404.9983809999999
Control,22,4th,3.098333,2010-11-10 00:00:00,153,0.0156,146,1478.188381,425.71000000000004
Control,23,Initial,2.123683,2010-06-17 00:00:00,0,0.0077,,,
Control,23,1st,2.53051,2010-06-18 00:00:00,8,,1,8.673333,
Control,23,2nd,2.712881,2010-08-16 00:00:00,67,0.0124,60,592.413333,583.74
Control,23,3rd,3.156461,2010-09-16 00:00:00,98,0.0202,91,938.308381,345.8950480000001
Control,23,4th,3.461618,2010-10-20 00:00:00,132,0.0223,125,1300.938381,362.6299999999999
Control,23,5th,3.976804,2010-12-20 00:00:00,193,0.0377,186,1723.158381,422.22
Control,24,Initial,2.250797,2010-06-17 00:00:00,0,0.0076,,,
Control,24,1st,2.637753,2010-06-19 00:00:00,9,0.0123,2,17.306667,
Control,24,2nd,2.872654,2010-08-22 00:00:00,73,0.016,66,658.78,641.473333
Control,24,3rd,3.174496,2010-10-05 00:00:00,117,,110,1151.678381,492.898381
Control,24,4th,3.341716,2010-11-27 00:00:00,170,0.0212,163,1592.988381,441.30999999999995
Control,25,Initial,2.106547,2010-06-17 00:00:00,0,0.0062,,,
Control,25,1st,2.461446,2010-06-19 00:00:00,9,0.0085,2,17.306667,
Control,25,2nd,2.873977,2010-08-11 00:00:00,62,0.013,55,539.353333,522.0466660000001
Control,25,3rd,3.300598,2010-09-10 00:00:00,92,0.0165,85,868.159333,328.8059999999999
Control,25,4th,3.894502,2010-10-06 00:00:00,118,0.0222,111,1162.108381,293.94904800000006
Control,26,Initial,2.102687,2010-06-17 00:00:00,0,0.0055,,,
Control,26,1st,2.481813,2010-06-19 00:00:00,9,0.0089,2,17.306667,
Control,26,2nd,2.540798,2010-08-25 00:00:00,76,0.0115,69,690.966667,673.6600000000001
Control,26,3rd,2.89388,2010-09-29 00:00:00,111,0.0152,104,1086.488381,395.52171399999986
Control,26,4th,3.237319,2010-10-31 00:00:00,143,0.0207,136,1397.298381,310.8100000000002
Control,26,5th,3.988654,2010-11-23 00:00:00,166,0.033,159,1568.888381,171.58999999999992
Control,27,Initial,2.146678,2010-06-17 00:00:00,0,0.0066,,,
Control,27,1st,2.575441,2010-06-18 00:00:00,8,0.0107,1,8.673333,
Control,27,2nd,2.669986,2010-08-11 00:00:00,62,0.0113,55,539.353333,530.6800000000001
Control,27,3rd,3.073917,2010-09-13 00:00:00,95,0.0202,88,902.908381,363.55504799999994
Control,27,4th,,2010-10-06 00:00:00,118,0.0256,111,1162.108381,259.20000000000005
Control,27,5th,4.143486,2010-11-12 00:00:00,155,0.0443,148,1493.308381,331.20000000000005
Control,28,Initial,2.059222,2010-06-17 00:00:00,0,0.0052,,,
Control,28,1st,2.42816,2010-06-22 00:00:00,12,0.0072,5,45.333333,
Control,28,2nd,2.624605,2010-08-03 00:00:00,54,0.0096,47,454.853333,409.52000000000004
Control,28,3rd,2.977914,2010-08-28 00:00:00,79,0.0153,72,722.846667,267.993334
Control,28,4th,3.1645,2010-09-30 00:00:00,112,0.0196,105,1097.748381,374.9017140000001
Control,28,5th,3.610861,2010-11-09 00:00:00,152,0.0256,145,1470.488381,372.7399999999998
Control,29,Initial,2.205165,2010-06-17 00:00:00,0,0.0073,,,
Control,29,1st,2.545916,2010-06-18 00:00:00,8,0.0105,1,8.673333,
Control,29,2nd,2.782665,2010-08-16 00:00:00,67,0.0134,60,592.413333,583.74
Control,29,3rd,3.29211,2010-09-20 00:00:00,102,0.0235,95,984.428381,392.015048
Control,29,4th,3.785178,2010-10-20 00:00:00,132,0.0321,125,1300.938381,316.51
Control,29,5th,4.37154,2010-12-19 00:00:00,192,0.0549,185,1717.538381,416.60000000000014
Control,30,Initial,2.098686,2010-06-17 00:00:00,0,0.0062,,,
Control,30,1st,2.468721,2010-06-22 00:00:00,12,0.0083,5,45.333333,
Control,30,2nd,2.609801,2010-08-11 00:00:00,62,0.0105,55,539.353333,494.02000000000004
Control,30,3rd,2.948749,2010-09-07 00:00:00,89,0.0162,82,834.506,295.15266699999995
Control,30,4th,3.287557,2010-10-04 00:00:00,116,0.02554,109,1141.268381,306.7623810000001
Control,30,5th,3.754627,2010-11-10 00:00:00,153,0.0318,146,1478.188381,336.91999999999985
