Tub,Tub,#,Date: Wet Weight,Initial Mass (g),Missing Limbs,1st Molt Date,1st Molt Exp Day,Date: Wet Weight,Mass 1 (g),Missing Limbs,2nd Molt Date,2nd Molt Exp Day,Date: Wet Weight,Mass 2 (g),Missing Limbs,3rd Molt Date,3rd Molt Exp Day,Date: Wet Weight,Mass 3 (g),Missing Limbs,4th Molt Date,4th Molt Exp Day,Date: Wet Weight,Mass 4 (g),Missing Limbs,5th Molt Date,5th Molt Exp Day,Date: Wet Weight,Mass 5 (g),Missing Limbs,Death Date,Death: Exp Day,Comments:
1,1,1,2012-08-01 00:00:00,0.0202,No,2012-08-23 00:00:00,19,2012-08-30 00:00:00,0.032,No,,,,,,,,,,,,,,,,,,,,,2012-10-15 00:00:00,72,"10/13/12 (Day 70)-Crab attempting to molt but ABD, 10/14/12 (Day 71)-  Crab still attempting to molt but discribed as ""lively."" 10/15/12- Crab died while attempting to molt."
1,1,2,2012-08-01 00:00:00,0.0194,No,2012-08-25 00:00:00,21,2012-09-01 00:00:00,0.0304,No,2012-10-09 00:00:00,66,2012-10-16 00:00:00,0.0291,No,2013-01-28 00:00:00,177,2013-02-04 00:00:00,0.0367,No,,,,,,,,,,,,,
1,1,3,2012-08-01 00:00:00,0.0213,No,2012-08-16 00:00:00,12,2012-08-23 00:00:00,0.0269,"ML1, MR1",2012-09-21 00:00:00,48,2012-09-28 00:00:00,0.0265,No,2012-12-01 00:00:00,119,2012-12-08 00:00:00,0.0304,No,,,,,,,,,,,,,
1,1,4,2012-08-01 00:00:00,0.0178,No,2012-08-15 00:00:00,11,2012-08-22 00:00:00,0.0321,No,2012-09-26 00:00:00,53,2012-10-03 00:00:00,0.0317,No,,,,,,,,,,,,,,,,2012-10-04 00:00:00,61,
1,1,5,2012-08-01 00:00:00,0.0168,No,2012-08-27 00:00:00,23,2012-09-03 00:00:00,0.0223,No,2012-10-13 00:00:00,70,2012-10-20 00:00:00,0.0238,No,,,,,,,,,,,,,,,,,,
1,1,6,2012-08-01 00:00:00,0.0231,No,2012-08-24 00:00:00,20,2012-08-31 00:00:00,0.0377,No,2012-10-05 00:00:00,62,2012-10-12 00:00:00,0.0415,No,2012-12-29 00:00:00,147,2013-01-05 00:00:00,0.0462,No,,,,,,,,,,,,,
1,1,7,2012-08-01 00:00:00,0.021,No,2012-08-20 00:00:00,16,2012-08-27 00:00:00,0.03,No,2012-10-10 00:00:00,67,2012-10-17 00:00:00,0.0286,No,2013-01-22 00:00:00,171,2013-01-29 00:00:00,0.034,No,,,,,,,,,,,,,
1,1,8,2012-08-01 00:00:00,0.0196,No,2012-08-21 00:00:00,17,2012-08-28 00:00:00,0.0311,No,2012-10-08 00:00:00,65,2012-10-15 00:00:00,0.0278,RL3,,,,,,,,,,,,,,,,2012-11-09 00:00:00,97,11/4/12-11/8/12: 1-8 Listed ABD
1,1,9,2012-08-01 00:00:00,0.0148,No,2012-08-30 00:00:00,26,2012-09-06 00:00:00,0.021,No,,,,,,,,,,,,,,,,,,,,,2012-09-26 00:00:00,53,
1,1,10,2012-08-01 00:00:00,0.0218,No,2012-08-26 00:00:00,22,2012-09-02 00:00:00,0.0313,No,2012-10-12 00:00:00,69,2012-10-19 00:00:00,0.0224,"MR1, MR2",2012-12-29 00:00:00,147,2013-01-05 00:00:00,0.0328,RR1,,,,,,,,,,,,,
1,1,11,2012-08-01 00:00:00,0.0208,No,2012-08-30 00:00:00,26,2012-09-06 00:00:00,0.028,No,,,,,,,,,,,,,,,,,,,,,2012-11-07 00:00:00,95,
1,1,12,2012-08-01 00:00:00,0.0248,No,2012-08-07 00:00:00,3,2012-08-14 00:00:00,0.0415,No,2012-09-12 00:00:00,39,2012-09-19 00:00:00,0.0537,No,2012-11-18 00:00:00,106,2012-11-25 00:00:00,0.0527,MR1,,,,,,,,,,,,,
1,1,13,2012-08-01 00:00:00,0.0238,No,2012-08-14 00:00:00,10,2012-08-21 00:00:00,0.0394,No,2012-09-22 00:00:00,49,2012-09-29 00:00:00,0.0346,MR1,2012-12-01 00:00:00,119,2012-12-08 00:00:00,0.0352,No,,,,,,,,,,,2012-12-15 00:00:00,133,
1,1,14,2012-08-01 00:00:00,0.0229,No,2012-08-17 00:00:00,13,2012-08-24 00:00:00,0.0358,No,2012-09-23 00:00:00,50,2012-09-30 00:00:00,0.0195,MR1,,,,,,,,,,,,,,,,,,
1,1,15,2012-08-01 00:00:00,0.0095,No,2012-08-09 00:00:00,5,2012-08-16 00:00:00,0.0124,No,2012-09-16 00:00:00,43,2012-09-23 00:00:00,0.0143,No,,,,,,,,,,,,,,,,,,
1,1,16,2012-08-01 00:00:00,0.0174,No,2012-08-21 00:00:00,17,2012-08-28 00:00:00,0.0317,No,,,,,,,,,,,,,,,,,,,,,2012-10-24 00:00:00,81,10/18/12 (Day 75)-10/20/12 (Day 77)- Crab attempting to molt but ABD. 10/21/12 (Day 78)-10/23/12 (Day 80) Crab still attempting to molt. 10/24/12: Crab died while attempting to molt.-LJH
1,1,17,2012-08-01 00:00:00,0.0189,No,2012-08-30 00:00:00,26,2012-09-06 00:00:00,0.0255,No,,,,,,,,,,,,,,,,,,,,,2012-10-14 00:00:00,71,
1,1,18,2012-08-01 00:00:00,0.0193,RL3,2012-08-14 00:00:00,10,2012-08-21 00:00:00,0.0316,No,2012-09-20 00:00:00,47,2012-09-27 00:00:00,0.0334,No,2012-12-15 00:00:00,133,2013-12-22 00:00:00,0.0405,No,,,,,,,,,,,,,
1,1,19,2012-08-01 00:00:00,0.0215,No,2012-08-22 00:00:00,18,2012-08-29 00:00:00,0.0336,No,2012-10-04 00:00:00,61,2012-10-11 00:00:00,0.0261,RL3,2012-12-10 00:00:00,128,2012-12-17 00:00:00,0.0329,No,,,,,,,,,,,,,
1,1,20,2012-08-01 00:00:00,0.0218,No,2012-08-27 00:00:00,23,2012-09-03 00:00:00,0.0235,No,2012-10-22 00:00:00,79,2012-10-29 00:00:00,0.0186,MR1,,,,,,,,,,,,,,,,,,
1,1,21,2012-08-01 00:00:00,0.0211,No,2012-08-23 00:00:00,19,2012-08-30 00:00:00,0.0335,No,,,,,,,,,,,,,,,,,,,,,2012-10-07 00:00:00,64,10/6/12 (Day 63)- Crab attempting to molt. 10/7/12: Died while molting; old carapace broken- may not be able to take pic.
1,1,22,2012-08-01 00:00:00,0.0183,No,2012-08-21 00:00:00,17,2012-08-28 00:00:00,0.0291,No,2012-10-10 00:00:00,67,2012-10-17 00:00:00,0.0235,MR1,,,,,,,,,,,,,,,,2012-11-13 00:00:00,101,
1,1,23,2012-08-01 00:00:00,0.0276,No,2012-08-09 00:00:00,5,2012-08-16 00:00:00,0.0476,No,2012-09-10 00:00:00,37,2012-09-17 00:00:00,0.0576,No,,,,,,,,,,,,,,,,2012-11-07 00:00:00,95,
1,1,24,2012-08-01 00:00:00,0.019,No,2012-08-10 00:00:00,6,2012-08-17 00:00:00,0.0309,No,,,,,,,,,,,,,,,,,,,,,2012-08-31 00:00:00,27,
1,1,25,2012-08-01 00:00:00,0.0174,No,2012-08-18 00:00:00,14,2012-08-25 00:00:00,0.0237,No,2012-09-25 00:00:00,52,2012-10-02 00:00:00,0.0195,MR1,2012-12-12 00:00:00,130,2013-12-19 00:00:00,0.0255,*,,,,,,,,,,,2013-12-28 00:00:00,146,12/5/12: ABD. 12/6/12-12/11/12: Crab molting. 12/26/12-12/27/12: Crab ADB. 12/19/12: During crabs wet weight it was found that multiple legs stuck from old molt and crab was desformed; cannot tell what is missing etc. -KS
1,1,26,2012-08-01 00:00:00,0.0181,No,2012-08-25 00:00:00,21,2012-09-01 00:00:00,0.0288,No,2012-10-07 00:00:00,64,2012-10-14 00:00:00,0.0337,No,,,,,,,,,,,,,,,,,,
1,1,27,2012-08-01 00:00:00,0.0282,No,2012-08-10 00:00:00,6,2012-08-17 00:00:00,0.0455,No,2012-09-20 00:00:00,47,2012-09-27 00:00:00,0.0413,No,2012-12-08 00:00:00,126,2012-12-15 00:00:00,0.0476,RR1,,,,,,,,,,,,,
1,1,28,2012-08-01 00:00:00,0.0185,No,2012-08-12 00:00:00,8,2012-08-19 00:00:00,0.0339,No,2012-09-13 00:00:00,40,2012-09-20 00:00:00,0.0394,No,2012-11-11 00:00:00,99,2012-11-18 00:00:00,0.0368,No,,,,,,,,,,,,,
1,1,29,2012-08-01 00:00:00,0.0285,No,2012-08-11 00:00:00,7,2012-08-18 00:00:00,0.054,No,2012-09-14 00:00:00,41,2012-09-21 00:00:00,0.0682,No,2012-11-08 00:00:00,96,2012-11-15 00:00:00,0.0836,*No,,,,,,,,,,,2012-11-19 00:00:00,107,11/4/12- Crab molting. 11/5/12-11/8/12 Crab molting and ABD. 11/15/12: Multiple legs from molt still stuck on crab.-LJH
1,1,30,2012-08-01 00:00:00,0.023,No,2012-08-16 00:00:00,12,2012-08-23 00:00:00,0.0379,No,2012-09-25 00:00:00,52,2012-10-02 00:00:00,0.0382,No,2013-01-02 00:00:00,151,2013-01-09 00:00:00,0.0475,No,,,,,,,,,,,,,
2,2,1,2012-08-01 00:00:00,0.0218,No,2012-08-08 00:00:00,4,2012-08-15 00:00:00,0.0347,No,2012-09-03 00:00:00,30,2012-09-10 00:00:00,0.044,No,2012-10-11 00:00:00,68,2012-10-18 00:00:00,0.0415,RL4,2012-12-02 00:00:00,120,2012-12-09 00:00:00,0.0418,ML4,,,,,,,,
2,2,2,2012-08-01 00:00:00,0.018,No,2012-08-14 00:00:00,10,2012-08-21 00:00:00,0.0284,No,2012-09-13 00:00:00,40,2012-09-20 00:00:00,0.0302,No,2012-10-21 00:00:00,78,2012-10-28 00:00:00,0.0306,No,2012-12-20 00:00:00,138,,,,,,,,,2012-12-23 00:00:00,141,"12/14/12-12/19/12: Crab molting. 12/16/12: Crab ADB. 12/20/12: Legs still stuck in old molt, carapace off."
2,2,3,2012-08-01 00:00:00,0.0218,No,2012-08-07 00:00:00,3,2012-08-14 00:00:00,0.0364,No,2012-08-31 00:00:00,27,2012-09-07 00:00:00,0.033,No,,,,,,,,,,,,,,,,2012-10-05 00:00:00,61,
2,2,4,2012-08-01 00:00:00,0.0214,No,2012-08-20 00:00:00,16,2012-08-27 00:00:00,0.0288,No,,,,,,,,,,,,,,,,,,,,,2012-09-25 00:00:00,51,
2,2,5,2012-08-01 00:00:00,0.025,No,2012-08-13 00:00:00,9,2012-08-20 00:00:00,0.0376,No,2012-09-10 00:00:00,37,2012-09-17 00:00:00,0.0423,No,2012-10-19 00:00:00,76,2012-10-26 00:00:00,0.0404,No,2012-12-06 00:00:00,124,2012-12-20 00:00:00,0.0455,No,,,,,,,,"12/20/12: Wet weight was suppose to be taken on 12/13/12 but was recored as insert 2-24. So, wet weight was retaken on 12/20- 7 days late."
2,2,6,2012-08-01 00:00:00,0.0253,No,2012-08-20 00:00:00,16,2012-08-27 00:00:00,0.0392,No,2012-09-22 00:00:00,49,2012-09-29 00:00:00,0.0382,No,2012-11-25 00:00:00,113,2012-12-02 00:00:00,0.043,No,,,,,,,,,,,,,
2,2,7,2012-08-01 00:00:00,0.0192,No,2012-08-11 00:00:00,7,2012-08-18 00:00:00,0.0272,No,2012-09-08 00:00:00,35,2012-09-15 00:00:00,0.0304,No,2012-10-10 00:00:00,67,2012-10-17 00:00:00,0.0291,No,,,,,,,,,,,2012-12-11 00:00:00,129,11/19/12-12/8/12: Crab ABD-LJH 12/9/12-12/10/12: Crab ABD and Molting. 12/11/12: Crab died while molting.-KS
2,2,8,2012-08-01 00:00:00,0.0252,No,2012-08-07 00:00:00,3,2012-08-14 00:00:00,0.0374,No,2012-09-05 00:00:00,32,2012-09-12 00:00:00,0.0519,No,2012-10-11 00:00:00,68,2012-10-18 00:00:00,0.0459,"ML4, MR2, MR3",,,,,,,,,,,2012-11-25 00:00:00,113,11/24/12- Crab molting ADB- BD; 11/25/12: Crab died while molting-KS
2,2,9,2012-08-01 00:00:00,0.0198,No,2012-08-13 00:00:00,9,2012-08-20 00:00:00,0.0357,No,2012-09-13 00:00:00,40,2012-09-20 00:00:00,0.0349,No,2012-11-04 00:00:00,92,2012-11-11 00:00:00,0.0309,No,,,,,,,,,,,2012-11-13 00:00:00,101,11/12/12: Crab ABD.-LJH
2,2,10,2012-08-01 00:00:00,0.0188,No,2012-08-13 00:00:00,9,2012-08-20 00:00:00,0.0301,No,2012-09-11 00:00:00,38,2012-09-18 00:00:00,0.0349,No,2012-10-21 00:00:00,78,2012-10-28 00:00:00,0.0294,"MR1, ML2",2012-12-01 00:00:00,119,2012-12-08 00:00:00,0.0301,"RL3, RR1",2013-01-28 00:00:00,177,2013-02-04 00:00:00,0.034,"RL3, RR1",,,
2,2,11,2012-08-01 00:00:00,0.0214,No,2012-08-20 00:00:00,16,2012-08-27 00:00:00,0.0286,No,,,,,,,,,,,,,,,,,,,,,2012-09-26 00:00:00,53,
2,2,12,2012-08-01 00:00:00,0.0163,No,2012-08-18 00:00:00,14,2012-08-25 00:00:00,0.0239,No,2012-09-17 00:00:00,44,2012-09-24 00:00:00,0.0229,No,,,,,,,,,,,,,,,,2012-09-25 00:00:00,52,
2,2,13,2012-08-01 00:00:00,0.0277,No,2012-08-10 00:00:00,6,2012-08-17 00:00:00,0.0372,No,2012-09-08 00:00:00,35,2012-09-15 00:00:00,0.0496,No,,,,,,,,,,,,,,,,2012-10-22 00:00:00,79,10/18/12 (Day 75)-10/21/12 (Day 78)- Crab attempting to molt. 10/22/12- Died while attempting to molt
2,2,14,2012-08-01 00:00:00,0.0202,No,2012-08-10 00:00:00,6,2012-08-17 00:00:00,0.0344,No,2012-09-06 00:00:00,33,2012-09-13 00:00:00,0.0395,No,2012-10-18 00:00:00,75,2012-10-25 00:00:00,0.0363,RL1,2012-12-05 00:00:00,123,2012-12-12 00:00:00,0.0334,RL1,,,,,,,,10/15/12 (Day 72)-10/17/12 (Day 74)-Crab attempting to molt; successfully molted on 10/18/12.
2,2,15,2012-08-01 00:00:00,0.0207,No,2012-08-15 00:00:00,11,2012-08-22 00:00:00,0.0339,No,2012-09-11 00:00:00,38,2012-09-18 00:00:00,0.0356,No,2012-11-05 00:00:00,93,,,,,,,,,,,,,,2012-11-07 00:00:00,95,"11/1/12: On 8/6 2-16 molt was recorded on the 2-15 line. Because of this the wrong wet weight was taken on 8/13, 2-16 should have been weighed instead.-LJH; 11/2/12 (90)-11/4/12 (92): 2-15 Crab molting. "
2,2,16,2012-08-01 00:00:00,0.0227,No,2012-08-06 00:00:00,2,,,,2012-09-02 00:00:00,29,2012-09-09 00:00:00,0.0547,No,2012-10-08 00:00:00,65,,,,,,,,,,,,,,,,"Jelly Belly stuck to molt; carapace looks clean.-JM; 11/1/12: Mass 2 not taken. On data sheet the 8/6/12 molt was recorded as 2-15 instead of 2-16. So, wet weight was not taken for 2-16 on 8/13.- LJH"
2,2,17,2012-08-01 00:00:00,0.0172,No,2012-08-18 00:00:00,14,2012-08-25 00:00:00,0.0255,No,2012-09-19 00:00:00,46,2012-09-26 00:00:00,0.0247,No,2012-11-18 00:00:00,106,,,,,,,,,,,,,,2012-11-23 00:00:00,111,11/11/12-11/17/12: Crab molting-LJH; 11/18/12- Crab legs stuck in old molt; Crab deformed-KS; 11/21/12-11/22/12: Crab ABD-LJH
2,2,18,2012-08-01 00:00:00,0.0199,No,2012-08-12 00:00:00,8,2012-08-19 00:00:00,0.0351,No,2012-09-09 00:00:00,36,2012-09-16 00:00:00,0.0375,No,2012-10-17 00:00:00,74,2012-10-24 00:00:00,0.0326,No,,,,,,,,,,,2012-12-16 00:00:00,134,12/15/12: Crab Molting; 12/16/12: Crab died while molting.
2,2,19,2012-08-01 00:00:00,0.0176,No,2012-08-16 00:00:00,12,2012-08-23 00:00:00,0.0208,No,2012-09-24 00:00:00,51,2012-10-23 00:00:00,0.02,MR1,2012-11-10 00:00:00,98,2012-11-17 00:00:00,0.0178,RR1,,,,,,,,,,,2012-11-18 00:00:00,106,10/1/2012: Date not circled on molt sheet; Weight recoreded 10/23/12.
2,2,20,2012-08-01 00:00:00,0.0165,No,2012-08-16 00:00:00,12,2012-08-23 00:00:00,0.0271,No,2012-09-10 00:00:00,37,2012-09-17 00:00:00,0.0313,No,,,,,,,,,,,,,,,,2012-10-26 00:00:00,83,
2,2,21,2012-08-01 00:00:00,0.0198,No,2012-08-22 00:00:00,18,2012-08-29 00:00:00,0.0259,No,2012-09-23 00:00:00,50,2012-09-30 00:00:00,0.0251,No,,,,,,,,,,,,,,,,,,"11/6/12: Crab ABD. 11/15/12: Crab pulled and labled as dead on 11/7/12. However, when examining carapace under microscope crab was discovered to be alive.-LJH  MUST REMOVE FROM EXPERIMENT!"
2,2,22,2012-08-01 00:00:00,0.0232,No,2012-08-21 00:00:00,17,2012-08-28 00:00:00,0.0306,No,,,,,,,,,,,,,,,,,,,,,2012-09-22 00:00:00,54,10/3/12: It was discovered on this date that 2-22 was not dead but had been in the fridge trying to molt. MUST REMOVE FROM EXPERIMENT!
2,2,23,2012-08-01 00:00:00,0.0233,No,2012-08-16 00:00:00,12,2012-08-23 00:00:00,0.0346,No,2012-09-17 00:00:00,44,2012-09-24 00:00:00,0.0313,No,2012-11-02 00:00:00,90,2012-11-09 00:00:00,0.0274,MR1,2012-12-29 00:00:00,147,2013-01-05 00:00:00,0.0288,"MR1, MR2, MR3, MR4",,,,,,2013-01-16 00:00:00,165,12/28/12: Crab molting. 12/30/12: Crab molted on 12/29. Legs still stuck in old molt. 1/11/13-1/12/13: Crab listed as ABD.-LJH
2,2,24,2012-08-01 00:00:00,0.0178,No,2012-08-13 00:00:00,9,2012-08-20 00:00:00,0.0307,No,2012-09-08 00:00:00,35,2012-09-15 00:00:00,0.0357,No,2012-10-16 00:00:00,73,2012-10-23 00:00:00,0.0344,No,2012-12-13 00:00:00,131,2012-12-20 00:00:00,0.0351,No,,,,,,2013-01-03 00:00:00,152,
2,2,25,2012-08-01 00:00:00,0.0263,No,2012-08-07 00:00:00,3,2012-08-14 00:00:00,0.0449,No,2012-09-02 00:00:00,29,2012-09-09 00:00:00,0.058,No,2012-10-05 00:00:00,62,2012-10-12 00:00:00,0.0618,No,2012-11-20 00:00:00,108,2012-11-27 00:00:00,0.0621,ML1,2013-01-09 00:00:00,158,2013-01-16 00:00:00,0.0703,RL1,,,
