Juv. RKC OA Growth and Survival Exp. 2024- ROUND TWO!,,,,,,,,,,,,,,,,,,,,,,,,,,
4,pH 7.65-A,22,2024-08-22 00:00:00,0.0062,,2024-09-18 00:00:00,0.0105,,2024-10-24 00:00:00,0.0106,,2025-01-22 00:00:00,0.0187,,2025-04-04 00:00:00,0.0271,,2025-06-10 00:00:00,0.0308,,,,,,,
4,pH 7.65-A,23,2024-08-23 00:00:00,0.0108,,2024-09-09 00:00:00,0.0157,,2024-10-20 00:00:00,0.0218,,2025-02-13 00:00:00,0.0272,,2025-05-19 00:00:00,,,,,,,,,,,
4,pH 7.65-A,24,2024-08-23 00:00:00,0.0097,,2024-09-27 00:00:00,0.0138,,2024-11-17 00:00:00,0.015,,2025-02-24 00:00:00,0.0215,,2025-05-13 00:00:00,0.0318,,,,,,,,,,
4,pH 7.65-A,25,2024-08-23 00:00:00,0.0069,,2024-09-18 00:00:00,0.0103,,2024-11-01 00:00:00,0.0131,,2025-03-02 00:00:00,0.015,,2025-05-23 00:00:00,0.0226,,,,,,,,,,
4,pH 7.65-A,26,2024-08-23 00:00:00,0.0127,,2024-08-27 00:00:00,0.0217,,2024-11-12 00:00:00,0.0182,,2025-02-24 00:00:00,0.0226,,2025-05-13 00:00:00,0.0348,,,,,,,,,,
5,pH 7.55- +3C,4,2024-08-20 00:00:00,0.0125,,2024-08-27 00:00:00,0.0187,,2024-09-27 00:00:00,0.0305,,2024-10-29 00:00:00,0.0398,,2024-12-16 00:00:00,0.0325,,2024-12-27 00:00:00,,,,,,,,
5,pH 7.55- +3C,5,2024-08-20 00:00:00,0.0111,,2024-09-20 00:00:00,0.0274,,2024-10-20 00:00:00,0.036,,2024-12-02 00:00:00,0.0481,,X,,,2025-02-04 00:00:00,,,,,,,,
5,pH 7.55- +3C,6,2024-08-20 00:00:00,0.0106,,2024-09-03 00:00:00,0.0179,,2024-09-27 00:00:00,0.0248,,2024-10-21 00:00:00,0.0314,,2024-11-26 00:00:00,0.0388,,,2025-01-26 00:00:00,0.0581,2025-04-03 00:00:00,0.0591,2025-05-21 00:00:00,0.0752,,
5,pH 7.55- +3C,7,2024-08-20 00:00:00,0.0119,,2024-08-23 00:00:00,0.0221,,2024-09-25 00:00:00,0.0516,,2024-11-01 00:00:00,0.0292,,2024-12-22 00:00:00,0.0353,,2025-03-26 00:00:00,2025-02-28 00:00:00,0.0354,,,,,,
5,pH 7.55- +3C,8,2024-08-21 00:00:00,0.0101,,2024-09-10 00:00:00,0.0138,,2024-10-12 00:00:00,0.0312,,2024-11-16 00:00:00,0.019,,2025-01-18 00:00:00,0.0214,,,2025-03-12 00:00:00,0.0269,2025-05-04 00:00:00,0.0383,,,,
5,pH 7.55- +3C,9,2024-08-21 00:00:00,0.0081,,2024-09-03 00:00:00,0.0132,,2024-10-04 00:00:00,0.0142,,2024-10-30 00:00:00,0.0144,,2024-12-10 00:00:00,0.0322,,,2025-02-04 00:00:00,0.0388,2025-04-06 00:00:00,,2025-05-19 00:00:00,0.073,,
5,pH 7.55- +3C,10,2024-08-21 00:00:00,0.0089,,2024-09-11 00:00:00,0.0135,,2024-10-04 00:00:00,0.0194,,2024-11-08 00:00:00,0.0291,,2025-01-02 00:00:00,,,2025-01-04 00:00:00,,,,,,,,
5,pH 7.55- +3C,11,2024-08-21 00:00:00,0.0118,,2024-09-08 00:00:00,0.158,,2024-10-04 00:00:00,0.0233,,2024-11-12 00:00:00,0.0389,,2025-01-21 00:00:00,0.0326,,2025-05-23 00:00:00,,,,,,,,
5,pH 7.55- +3C,20,2024-08-22 00:00:00,0.0109,,2024-09-03 00:00:00,0.015,,2024-09-30 00:00:00,0.0205,,2024-12-03 00:00:00,0.0311,,2025-01-29 00:00:00,0.0404,,,2025-03-30 00:00:00,0.0519,2025-05-17 00:00:00,0.0687,,,,
5,pH 7.55- +3C,21,2024-08-22 00:00:00,0.0115,,2024-09-25 00:00:00,0.0296,,2024-10-27 00:00:00,0.0291,,2024-12-02 00:00:00,0.0352,,2025-01-29 00:00:00,0.049,,,2025-03-28 00:00:00,,2025-05-19 00:00:00,0.084,,,,
5,pH 7.55- +3C,22,2024-08-22 00:00:00,0.0107,holding onto a small piece of food,2024-09-16 00:00:00,0.109,,2024-10-15 00:00:00,0.0133,,2024-11-15 00:00:00,0.02,,2025-01-13 00:00:00,0.0207,,,2025-03-13 00:00:00,0.0267,2025-05-02 00:00:00,0.0351,,,,
5,pH 7.55- +3C,23,2024-08-23 00:00:00,0.0073,,2024-09-20 00:00:00,0.0063,,2024-10-11 00:00:00,0.0156,,2024-11-09 00:00:00,0.0188,,2024-12-21 00:00:00,0.0173,,,2025-02-07 00:00:00,0.0228,2025-04-03 00:00:00,0.0302,2025-05-18 00:00:00,0.0435,,
5,pH 7.55- +3C,24,2024-08-23 00:00:00,0.0083,,X,,,X,,,X,,,X,,,"Missing as of 9/3, not dead, remove from analysis",,,,,,,,
5,pH 7.55- +3C,25,2024-08-23 00:00:00,0.0087,,2024-09-07 00:00:00,0.0108,,2024-10-02 00:00:00,0.0171,,2024-10-26 00:00:00,0.0179,,2024-12-01 00:00:00,0.0225,,2025-02-05 00:00:00,2025-01-27 00:00:00,0.0252,,,,,,
5,pH 7.55- +3C,26,2024-08-23 00:00:00,0.0099,,2024-09-05 00:00:00,0.0164,,2024-10-02 00:00:00,0.0164,,2024-10-27 00:00:00,0.0277,,2024-11-29 00:00:00,0.029,,,2025-01-24 00:00:00,0.0368,2025-03-30 00:00:00,0.0426,2025-05-14 00:00:00,0.066,,
6,pH 7.85- +3C,4,2024-08-20 00:00:00,0.004,,2024-08-28 00:00:00,0.0066,,2024-09-27 00:00:00,0.0065,,2024-11-23 00:00:00,0.0076,,2025-01-12 00:00:00,0.0113,,2025-04-11 00:00:00,2025-03-01 00:00:00,0.015,,,,,,
6,pH 7.85- +3C,5,2024-08-20 00:00:00,0.0108,,2024-09-09 00:00:00,0.0185,,2024-10-07 00:00:00,0.0205,,2025-01-06 00:00:00,0.039,,2025-02-27 00:00:00,0.0542,,,2025-04-24 00:00:00,,2025-06-06 00:00:00,0.1044,,,,
6,pH 7.85- +3C,6,2024-08-20 00:00:00,0.0132,,2024-08-27 00:00:00,0.0165,,2024-10-11 00:00:00,0.0229,,2024-11-10 00:00:00,0.0229,,2024-11-21 00:00:00,0.0251,,,2025-02-02 00:00:00,0.0303,2025-04-13 00:00:00,0.0352,2025-06-04 00:00:00,0.0518,,
6,pH 7.85- +3C,7,2024-08-20 00:00:00,0.0091,,,,,2024-10-11 00:00:00,0.0207,,2024-11-18 00:00:00,0.0192,,2025-01-05 00:00:00,0.0299,,,2025-03-01 00:00:00,0.0376,2025-04-21 00:00:00,0.0577,2025-06-05 00:00:00,0.0729,,
6,pH 7.85- +3C,8,2024-08-21 00:00:00,0.0103,,2024-09-10 00:00:00,0.0125,,2024-10-04 00:00:00,0.0166,,2024-11-08 00:00:00,0.0214,,2025-01-21 00:00:00,0.0288,,,2025-03-15 00:00:00,0.029,2025-05-03 00:00:00,0.0467,2025-06-10 00:00:00,0.0542,,
6,pH 7.85- +3C,9,2024-08-21 00:00:00,0.0099,,2024-09-09 00:00:00,0.013,,2024-10-07 00:00:00,0.0163,,2024-11-10 00:00:00,0.013,,2025-01-02 00:00:00,0.0303,,,2025-02-27 00:00:00,0.032,2025-04-22 00:00:00,0.05,2025-06-08 00:00:00,0.0648,,
6,pH 7.85- +3C,10,2024-08-21 00:00:00,0.0071,,2024-09-16 00:00:00,0.0113,,2024-10-11 00:00:00,0.0156,,2024-11-06 00:00:00,0.022,,2024-12-16 00:00:00,0.0395,,,2025-02-12 00:00:00,0.0461,2025-04-16 00:00:00,0.0546,2025-06-01 00:00:00,0.081,,
6,pH 7.85- +3C,11,2024-08-21 00:00:00,0.0125,,2024-08-27 00:00:00,0.0172,,2024-10-02 00:00:00,0.0261,,2024-11-13 00:00:00,0.0145,,2025-01-12 00:00:00,0.0356,,,2025-03-19 00:00:00,0.0443,2025-05-09 00:00:00,,,,,
6,pH 7.85- +3C,20,2024-08-22 00:00:00,0.0081,,2024-09-25 00:00:00,0.0132,,2024-11-01 00:00:00,0.0113,,2025-01-09 00:00:00,0.0165,,2025-03-16 00:00:00,0.0189,,,2025-04-27 00:00:00,0.0353,2025-06-12 00:00:00,0.036,,,,
6,pH 7.85- +3C,21,2024-08-22 00:00:00,0.0057,,2024-09-16 00:00:00,0.007,,2024-10-11 00:00:00,0.0104,,2024-11-07 00:00:00,0.0152,,2025-01-06 00:00:00,0.0226,,,2025-02-24 00:00:00,0.0279,2025-04-27 00:00:00,0.0427,,,,
6,pH 7.85- +3C,22,2024-08-22 00:00:00,0.0113,,2024-09-22 00:00:00,0.013,,2024-10-22 00:00:00,0.0148,,2024-11-30 00:00:00,0.0192,,2025-01-16 00:00:00,0.0266,,2025-03-10 00:00:00,2025-03-06 00:00:00,"Marked as having molted on3/6.  No mass on 3/13.  X on the row, but not on date.  Assume died between molt date and massing date",,,,,,
6,pH 7.85- +3C,23,2024-08-23 00:00:00,0.0101,,2024-09-06 00:00:00,0.0124,,2024-10-11 00:00:00,0.0155,,2024-11-18 00:00:00,0.0208,,2025-01-22 00:00:00,0.0311,,,2025-03-26 00:00:00,0.0389,2025-05-14 00:00:00,0.062,,,,
6,pH 7.85- +3C,24,2024-08-23 00:00:00,0.0074,,2024-09-16 00:00:00,0.009,,2024-10-22 00:00:00,0.0103,,2024-12-05 00:00:00,0.013,,2025-01-26 00:00:00,0.0188,,,2025-04-04 00:00:00,0.025,2025-05-27 00:00:00,0.0317,,,,
6,pH 7.85- +3C,25,2024-08-23 00:00:00,0.01,,2024-09-16 00:00:00,0.0103,,2024-10-15 00:00:00,0.0187,,2024-11-18 00:00:00,0.0218,,2025-01-12 00:00:00,0.0286,,,2025-03-11 00:00:00,0.0353,,,,,,
6,pH 7.85- +3C,26,2024-08-23 00:00:00,0.0075,,2024-08-23 00:00:00,,,2024-09-16 00:00:00,0.0107,,2024-10-15 00:00:00,0.0163,,2024-11-18 00:00:00,0.0192,,,2025-01-11 00:00:00,0.0276,2025-03-10 00:00:00,0.0328,2025-04-26 00:00:00,0.0531,2025-06-13,0.063
7,A-A,4,2024-08-20 00:00:00,0.0094,,2024-09-16 00:00:00,0.012,,2024-10-30 00:00:00,0.0794,,,,,X,,,2024-12-16 00:00:00,"Flow cut to tank, all crabs died",,,,,,,
7,A-A,5,2024-08-20 00:00:00,0.0081,,,,,,,,,,,X,,,2024-12-16 00:00:00,,,,,,,,
7,A-A,6,2024-08-20 00:00:00,0.0094,,2024-09-17 00:00:00,0.0116,,2024-10-28 00:00:00,0.017,,,,,X,,,2024-12-16 00:00:00,,,,,,,,
7,A-A,7,2024-08-20 00:00:00,0.0088,,2024-09-21 00:00:00,,,2024-11-03 00:00:00,0.01,,,,,X,,,2024-12-16 00:00:00,,,,,,,,
7,A-A,8,2024-08-21 00:00:00,0.0119,,2024-08-26 00:00:00,0.0168,,2024-10-11 00:00:00,0.02,,,,,X,,,2024-12-16 00:00:00,,,,,,,,
7,A-A,9,2024-08-21 00:00:00,0.0089,,2024-09-16 00:00:00,0.0133,,2024-10-30 00:00:00,0.0254,,,,,X,,,2024-12-16 00:00:00,,,,,,,,
7,A-A,10,2024-08-21 00:00:00,0.0098,,2024-09-02 00:00:00,0.0187,,2024-10-11 00:00:00,0.0222,,,,,X,,,2024-12-16 00:00:00,,,,,,,,
7,A-A,11,2024-08-21 00:00:00,0.0075,,2024-09-18 00:00:00,0.0096,,2024-11-14 00:00:00,0.0116,,,,,X,,,2024-12-16 00:00:00,,,,,,,,
7,A-A,20,2024-08-22 00:00:00,0.0094,,2024-09-27 00:00:00,0.0121,,2024-12-09 00:00:00,,,,,,X,,,2024-12-16 00:00:00,,,,,,,,
7,A-A,21,2024-08-22 00:00:00,0.0119,,2024-09-04 00:00:00,0.017,,2024-11-17 00:00:00,,,,,,X,,,2024-11-25 00:00:00,,,,,,,,
7,A-A,22,2024-08-22 00:00:00,0.0134,,2024-08-28 00:00:00,0.0218,,2024-11-01 00:00:00,0.0254,,,,,X,,,2024-12-16 00:00:00,,,,,,,,
7,A-A,23,2024-08-23 00:00:00,0.0064,,2024-09-19 00:00:00,0.0081,,2024-11-02 00:00:00,0.011,,2024-11-18 00:00:00,0.0125,,X,,,2024-12-16 00:00:00,,,,,,,,
7,A-A,24,2024-08-23 00:00:00,0.0091,,2024-09-17 00:00:00,0.0101,,2024-11-01 00:00:00,0.0125,,,,,X,,,2024-12-16 00:00:00,,,,,,,,
7,A-A,25,2024-08-23 00:00:00,0.0148,,2024-10-22 00:00:00,0.0236,,,,,,,,X,,,2024-12-16 00:00:00,,,,,,,,
7,A-A,26,2024-08-23 00:00:00,0.0073,,2024-09-25 00:00:00,missing,,,,,,,,X,,,10/2/24 missing,,,,,,,,
8,pH 7.85-A,4,2024-08-20 00:00:00,0.0086,,2024-09-03 00:00:00,0.0138,,2024-10-28 00:00:00,0.015,,2025-01-27 00:00:00,0.0218,,2025-04-04 00:00:00,0.0315,,,2025-05-30 00:00:00,0.0502,,,,,,
8,pH 7.85-A,5,2024-08-20 00:00:00,0.0076,,2024-09-21 00:00:00,,,2025-11-04 00:00:00,,,2024,,,X,,,2024-11-11 00:00:00,,,,,,,,
8,pH 7.85-A,6,2024-08-20 00:00:00,0.0115,holding onto a small piece of food,2024-09-03 00:00:00,0.187,,2024-10-13 00:00:00,0.0241,,2025-02-11 00:00:00,0.0288,,2025-05-01 00:00:00,0.0445,,,,,,,,,,
8,pH 7.85-A,7,2024-08-20 00:00:00,0.0131,,2024-09-13 00:00:00,0.0156,,2024-11-15 00:00:00,0.0194,,2025-03-24 00:00:00,0.0274,,2025-05-14 00:00:00,,,,,,,,,,,
8,pH 7.85-A,8,2024-08-21 00:00:00,0.0044,,,,,X,,,X,,,X,,,2024-10-20 00:00:00,,,,,,,,
8,pH 7.85-A,9,2024-08-21 00:00:00,0.0127,,2024-09-05 00:00:00,0.0182,,2024-10-25 00:00:00,0.0234,,2025-01-26 00:00:00,0.0344,,2025-04-29 00:00:00,0.0438,,,,,,,,,,
8,pH 7.85-A,10,2024-08-21 00:00:00,0.0099,,2024-09-19 00:00:00,0.0125,,2025-03-10 00:00:00,0.0188,,,,,X,,,2025-05-19 00:00:00,,,,,,,,
8,pH 7.85-A,11,2024-08-21 00:00:00,0.0116,,2024-09-29 00:00:00,0.0132,,2024-11-28 00:00:00,0.0145,,X,,,X,,,2024-12-11 00:00:00,,,,,,,,
8,pH 7.85-A,20,2024-08-22 00:00:00,0.0064,,2024-10-02 00:00:00,0.0072,,2024-11-25 00:00:00,0.0113,,2025-01-17 00:00:00,0.0103,died,X,,,2025-04-11 00:00:00,,,,,,,,
8,pH 7.85-A,21,2024-08-22 00:00:00,0.0088,,2024-09-20 00:00:00,0.0095,,2024-11-11 00:00:00,0.0149,,2025-02-21 00:00:00,0.0139,,2025-04-29 00:00:00,0.0219,,,,,,,,,,
8,pH 7.85-A,22,2024-08-22 00:00:00,0.0109,,2024-08-26 00:00:00,0.0178,,2024-10-07 00:00:00,0.0221,,X,,,X,,,2024-10-23 00:00:00,,,,,,,,
8,pH 7.85-A,23,2024-08-23 00:00:00,0.0095,,2024-09-16 00:00:00,0.0109,,2025-02-19 00:00:00,0.0194,,2025-04-24 00:00:00,,,2025-06-12 00:00:00,0.0464,,,,,,,,,,
8,pH 7.85-A,24,2024-08-23 00:00:00,0.0078,,2024-09-17 00:00:00,0.0104,,2024-11-10 00:00:00,0.0224,,2025-04-08 00:00:00,,,,,,,,,,,,,,
8,pH 7.85-A,25,2024-08-23 00:00:00,0.0107,,2024-09-09 00:00:00,0.0141,,2024-10-30 00:00:00,,,2024-11-25 00:00:00,0.0142,,X,,,2024-12-06 00:00:00,,,,,,,,
8,pH 7.85-A,26,2024-08-23 00:00:00,0.0063,,2024-09-16 00:00:00,0.0101,,2024-10-30 00:00:00,0.0234,,2025-01-16 00:00:00,0.0195,,2025-04-03 00:00:00,0.025,,,2025-06-03 00:00:00,0.0381,,,,,,
