Juv. RKC OA  Growth and Survival Exp. 2024,,,,,,,,,,,,,,,,,
pH and Temp data sheet,,,,,,,,,,,,,,,,,
Measure one insert each day,,,,,,,,,,,,,,,,,
,pH 7.55-A,,A- +3C,,pH 7.65- +3C,,pH 7.65-A,,pH 7.55- +3C,,pH 7.85- +3C,,A-A,,pH 7.85-A,,
,Tub 1,,Tub 2,,Tub 3,,Tub 4,,Tub 5,,Tub 6,,Tub 7,,Tub 8,,
Date,pH,Temp,pH,Temp,pH,Temp,pH,Temp,pH,Temp,pH,Temp,pH,Temp,pH,Temp,
2024-08-21 00:00:00,7.52,11.5,7.88,15.2,7.62,14.9,7.66,11.6,7.53,14.5,7.77,14.5,7.9,11,7.79,11.4,"lowered 7.65 +3c temp by .04 & increased ph by .01, lowered treatment 2 temp by .07c"
2024-08-21 00:00:00,,,,,,,,,,,,,,,,,
2024-08-21 00:00:00,,,,,,,,,,,,,,,,,
2024-08-23 00:00:00,7.52,11.6,7.86,15.3,7.63,14.3,7.66,11.5,7.53,14.6,7.77,14.2,7.92,11.3,7.78,11.4,"decreased T2 temp by .08c, increased 7.85 treatments by .02"
2024-08-23 00:00:00,,,,,,,,,,,,,,,,,
2024-08-23 00:00:00,,,,,,,,,,,,,,,,,
2024-08-26 00:00:00,7.53,11.5,7.89,14.9,7.64,15.2,7.66,11.4,7.52,14.8,7.77,14.6,7.93,11.3,7.79,11.3,"increased 7.55 ph by.01, lowered amb, 3+ temp by .03c, lowered 7.65 +3c temp by .06c, increased 7.85 ph by .02"
2024-08-26 00:00:00,,,,,,,,,,,,,,,,,
2024-08-26 00:00:00,,,,,,,,,,,,,,,,,
2024-08-28 00:00:00,7.56,11.5,7.9,14,7.65,14.5,7.67,11.5,7.54,14.6,7.74,15.1,7.91,11.3,7.78,11.4,"increased 7.85 phs by .02, lowered temp of 7.85, +3c by 1.0c, increased temp on amb, +3c by .5"
8/29/24 water samples,7.56,11.3,7.89,14.1,7.67,14.3,7.68,11.3,7.56,14.5,7.74,13.2,7.92,11.4,7.76,11.3,
2024-08-30 00:00:00,7.56,11.5,7.89,13.7,7.65,13.4,7.68,11.4,7.57,13.3,7.78,12.9,7.92,11.3,7.74,11.4,"increased 7.85 by 0.1, 7.65 by 0.02, temp in amb up .2, 7.55 up .2, 7.85 up .4"
2024-09-03 00:00:00,7.56,11.7,7.88,14.6,7.63,14.1,7.65,11.6,7.59,13.9,7.83,13.5,7.92,11.4,7.86,11.5,"increased 7.85, +3c temps by .08c, lowered 7.55 ph by .02"
2025-09-04 00:00:00,7.55,11.6,7.87,15.9,7.62,15.6,7.65,11.3,7.52,15.3,7.79,15.4,7.92,11.4,7.86,11.5,lowered all +3c temps by 1.0c
2024-09-06 00:00:00,7.55,11.3,7.85,13.2,7.65,13.2,7.65,11.3,7.54,13.7,7.82,13.6,7.88,11.3,7.86,11.3,increased all +3C temps by 0.7 C
2024-09-09 00:00:00,7.52,11.1,7.83,14.7,7.62,14.5,7.65,11.2,7.51,15.2,7.79,15.3,7.84,11.1,7.83,11.2,lowered tub 5 and 6 temp by 0.5C
2024-09-11 00:00:00,7.55,11.1,7.83,15.2,7.64,14.3,7.64,11,7.5,14.5,7.81,14.5,7.88,10.9,7.85,10.9,"decreased tub 2 temp by 0.5 C, increased tub 5 and 6 PH by 0.01"
2024-09-13 00:00:00,7.56,10.8,7.85,13.5,7.63,13.4,7.64,10.7,7.58,13,7.83,13,7.86,10.7,7.85,10.7,"increased Tub 3 temp by o.1 C, increased tub 5 and 6 temp by 0.5 C"
2024-09-16 00:00:00,7.55,10.9,7.84,13.6,7.63,13.7,7.65,10.9,7.56,13.9,7.83,14.2,7.78,10.9,7.85,11,
2024-09-18 00:00:00,7.54,11,7.85,13.4,7.61,13.5,7.64,10.9,7.54,13.5,7.82,13.7,7.85,10.9,7.86,10.8,increased 7.65 pH by 0.01
2024-09-20 00:00:00,7.52,10.7,7.84,13.9,7.61,13.9,7.63,10.7,7.54,13.9,7.82,14.5,7.88,10.6,7.85,10.6,"lowered tub 6 temp by 0.5C, increased 7.65 ph by 0.01"
2024-09-23 00:00:00,7.57,10.6,7.86,13.2,7.61,13.9,7.64,10.6,7.58,14.1,7.83,14.4,7.86,10.5,7.86,10.4,increased 7.65 ph by 0.01
2024-09-24 00:00:00,,,,,,,,,,,7.82,14.8,7.88,10.1,7.87,10.3,ran water samples on 6-8
2024-09-25 00:00:00,7.56,10.2,7.85,12.7,7.62,12.8,7.65,10.2,7.52,12.9,7.84,13.2,7.89,10.1,7.88,10.1,"increased tub 2 temp 0.2 C, increased tub 3 temp 0.1 C"
2024-09-27 00:00:00,7.53,10,7.84,12.3,7.63,12.7,7.65,10,7.49,13.7,7.83,13.7,7.87,9.9,7.86,9.7,
2024-09-30 00:00:00,7.56,10.1,7.9,13.4,7.66,13.8,7.68,10.1,7.57,13.9,7.9,14.1,7.95,10,7.93,10,"decrease 7.65ph by 0.01, decrease 7.85ph by 0.02, decrease tub 3 and 5 temp by 0.2, tub 6 by 0.3"
2024-10-02 00:00:00,7.57,9.8,7.92,13.3,7.67,13,7.69,9.8,7.55,13.3,7.9,13.4,7.95,9.8,7.94,9.8,"decrease 7.65pH by 0.02, decrease 7. 85 pH by 0.03 - issue w/ theprobe in the head tank,Solved wl Meg and Chris (cleaned glass with qtip and rinsed with DI and alcohol,then dried and put cotton balls in top to keep dry)"
2024-10-04 00:00:00,7.57,10.2,7.9,13.3,7.62,13.3,7.65,10.2,7.56,13.7,7.87,13.6,7.95,10.1,7.91,10.1,lowered 7.85pH by 0.02
2024-10-07 00:00:00,7.56,9.8,7.85,12.3,7.6,12.1,7.62,9.8,7.53,13.6,7.81,14.4,7.9,9.6,7.85,9.6,"lowered tub 6 temp by 1, tub 5 by 0.5, raised tub 3 by 0.3, tub 2 by 0.2. increased 7.65ph by 0.02 and increased 7.85ph by 0.01"
2024-10-09 00:00:00,7.52,9.8,7.84,13,7.6,13.5,7.63,9.8,7.5,13.8,7.81,13,7.88,9.6,7.84,9.6,"increased 7.65ph and 7.55 by 0.02, 7.85ph by 0.01"
2024-10-11 00:00:00,7.54,9.4,7.86,12.6,7.63,13.2,7.66,9.4,7.55,13.4,7.81,13.3,7.89,9.4,7.85,9.4,
2024-10-15 00:00:00,7.52,9.5,7.84,12.7,7.61,12.9,7.65,9.5,7.53,13,7.78,13.9,7.85,9.5,7.82,9.4,"increase 7.55ph, 7.85ph by 0.02, increase 7.65ph by 0.01. decrease tub 5 and 6 temp by 0.5"
2024-10-16 00:00:00,7.57,9.4,7.85,12.1,7.65,11.8,7.66,9.3,7.53,12.3,7.79,12.9,7.87,9.3,7.83,9.2,increase 7.85ph by 0.02
2024-10-18 00:00:00,7.55,9,7.84,12.3,7.64,12.8,7.66,9,7.55,12.9,7.8,12.9,7.86,9,7.83,8.9,"turn temps down by 0.5F (all +3C tubs except tub 2), increase 7.85ph by 0.02"
2024-10-21 00:00:00,7.54,8.8,7.89,12.2,7.66,11.9,7.65,8.6,7.53,12.1,7.76,13.4,7.85,8.6,7.8,8.6,"lowered tub 6 temp by 0.5. Looking into how to adjust 7.85ph treatments, recalibrated probe in head tank and set R2 to 7.85"
2024-10-23 00:00:00,7.52,8.9,7.8,13.4,7.61,13.4,7.64,8.6,7.51,14.2,7.77,13.9,7.85,8.4,7.82,8.5,"increased 7.55 ph by .02 and 7.65 ph by .02 and 7.85 by .03, lowered all +3c temps by 1c"
2024-10-25 00:00:00,7.57,8.5,7.84,11.5,7.68,11.5,7.69,8.4,7.56,11.5,7.82,12.5,7.86,8.4,7.85,8.4,decrease 7.65ph by 0.02
2024-10-28 00:00:00,7.59,8.5,7.84,11.3,7.65,11.4,7.66,8.4,7.56,12.3,7.82,12.3,7.86,8.3,7.86,8.3,
2024-10-30 00:00:00,7.56,8,7.82,10.5,7.63,10.4,7.66,7.9,7.55,10.8,7.82,13.2,7.84,7.9,7.85,7.9,"decrease tub 6 temp by 0.5, increase tub 3 by 0.3 temp, tub 2 by 0.2temp"
2024-11-01 00:00:00,7.57,7.8,7.85,10.3,7.67,10.3,7.67,7.8,7.53,11.9,7.83,12,7.87,7.8,7.87,7.9,"increase temp in tub 2 and 3 by 0.2C, decrease temp in tub 5 and 6 by 0.5C"
2024-11-04 00:00:00,7.57,7.8,7.85,10.8,7.66,10.6,7.68,7.7,7.54,12.2,7.82,12.2,7.87,7.7,7.84,7.8,decrease temp tub 5 and 6 by 1F
2024-11-06 00:00:00,7.57,7.8,7.85,11.1,7.66,10.8,7.66,7.8,7.55,11.6,7.82,11,7.87,7.6,7.85,7.7,
2024-11-08 00:00:00,7.57,7.9,7.83,10.8,7.65,10.6,7.67,7.8,7.56,11.5,7.83,11.4,7.86,7.7,7.86,7.8,lower tub 6 and 5 temp by 0.3
2024-11-12 00:00:00,7.61,7.6,7.85,10.1,7.69,10,7.67,7.6,7.54,11,7.83,10.8,7.87,7.5,7.86,7.5,"decrease 7.55 and 7.65 pH by 0.02, decrease tub 5 and 6 temp by 0.3"
2024-11-13 00:00:00,7.56,7.3,7.85,10.7,7.63,9.8,7.65,7.3,7.53,10.9,7.83,10.8,7.86,7.2,7.86,7.2,"decrease tub 2 temp by 0.2, increase tub 3 by 0.2, decrease tub 5 and 6 temp by 0.3"
2024-11-15 00:00:00,7.59,7.3,7.86,10.2,7.66,10.1,7.66,7.4,7.54,11.4,7.83,10.5,7.88,7.4,7.88,7.3,decrease tub 5 temp by .5
2024-11-18 00:00:00,7.56,6.6,7.86,9.3,7.65,9.3,7.64,6.6,7.52,11.1,7.82,11.4,7.87,6.5,7.87,6.5,decrease tub 5 and 6 temp by 1F
2024-11-20 00:00:00,7.55,6.2,7.84,9.2,7.64,8.6,7.63,6,7.52,9.4,7.83,9.4,7.87,6,7.87,6,increase tub 3 temp by 0.5F
2024-11-22 00:00:00,7.58,6.2,7.84,8.8,7.64,9.1,7.65,6.2,7.57,9.2,7.85,9.3,7.87,6.1,7.88,6,"decrease 7.55ph by 0.01, decrease 7.85ph by 0.01"
2024-11-25 00:00:00,7.59,6.2,7.83,9.2,7.63,9.2,7.66,6.2,7.51,9.8,7.82,9.6,7.87,6,7.87,6,decrease tub 5 by 0.5F and tub 6 by 0.2F
2024-11-27 00:00:00,7.54,5.8,7.83,8.9,7.65,8.6,7.62,5.8,7.52,8.8,7.81,9.1,7.84,5.7,7.83,5.7,"increase tub 3 temp by 0.2f, decrease tub 6 temp by 0.5f"
2024-11-29 00:00:00,7.56,5.4,7.86,8.5,7.65,8.4,7.66,5.4,7.53,8.9,7.83,8.9,7.86,5.2,7.88,5.4,decrease tub 5 and 6 by 0.5F
2024-12-02 00:00:00,7.56,6.1,7.85,9.3,7.65,8.8,7.66,6,7.63,9.7,7.85,9.3,7.9,5.7,7.89,5.7,"decreased 7.85 treatment pH by .02, decreased T2 temp by .3c & T5 temp by .9c & T6 temp by.5c"
2024-12-04 00:00:00,7.56,6.3,7.83,9.3,7.64,8.6,7.66,6.2,7.54,9.9,7.86,7.3,7.89,6.1,7.88,6.1,"increased T6 temp by 1c, decreased T5 temp by .5c,  increased T3 temp by .3c"
2024-12-06 00:00:00,7.55,6.2,7.86,10.1,7.64,8.6,7.64,6.2,7.53,9.3,7.84,7.4,7.89,6,7.87,6.2,"decreased tub2 temp by 0.8F, increase tub 3 temp by 0.5F, increase tub 6 temp by 1"
2024-12-09 00:00:00,7.55,6.2,7.86,8.6,7.65,8.8,7.65,6.3,7.54,8.8,7.84,8.7,7.87,6.2,7.87,6.3,increase tub 2 temp by 0.5F
2024-12-11 00:00:00,7.54,6.3,7.82,10,7.62,9.4,7.63,6.3,7.54,8.8,7.82,8.2,7.86,6.2,7.84,6.2,adjusting temp of tubs 2 and 3 and monitoring until it gets to stable 9.3C
2024-12-13 00:00:00,7.56,6.4,7.86,8.8,7.64,9.2,7.65,6.4,7.57,8.8,7.82,9.4,7.87,6.3,7.88,6.2,increase tub 3 by 0.3F and tub 2 by 0.4F
2024-12-16 00:00:00,7.56,6.1,7.86,9.2,7.62,8.8,7.66,6.2,7.55,9,7.82,9.5,7.9,6.1,7.85,6.2,"increase tub 3 temp by 0.4F, decrease tub 6 temp by 0.4F"
2024-12-18 00:00:00,7.54,6.7,7.87,9.1,7.62,8.8,7.64,6.5,7.53,8.8,7.85,8.5,,,7.85,6.5,"no crabs in tub 7. increase tub 6 temp by 0.5F, increase tub 5 by 0.3F, increase 5ub 3 by 0.4F, increase tub 2 by 0.2F"
2024-12-20 00:00:00,7.55,6.4,7.83,8.8,7.64,9.1,7.64,6.3,7.57,9.2,7.83,9.7,,,7.85,6.3,
2024-12-23 00:00:00,7.54,6.6,7.83,8.7,7.64,9.7,7.63,6.6,7.55,8.4,7.84,8.4,,,7.85,6.5,"increase temp in tub 6, 5, 2"
2024-12-26 00:00:00,7.57,6.7,7.84,8.8,7.67,9.4,7.67,6.6,7.57,9.1,7.83,10.9,7.86,6.2,7.84,6.6,"increase tub 2 temp by 1F, decrease tub 6 temp by 1F"
2024-12-27 00:00:00,7.56,6.5,7.82,9.5,7.64,9.3,7.65,6.5,7.53,8.8,7.84,8.3,7.89,6.1,7.85,6.5,increase tub 6 temp by 0.3F
2024-12-30 00:00:00,7.59,6.3,7.86,9.1,7.64,9.3,7.67,6.2,7.53,9.3,7.83,9.9,7.89,6,7.85,6.1,decrease tub 6 by 0.6F
2025-01-02 00:00:00,7.54,6.2,7.84,9.1,7.65,9.1,7.65,6.2,7.54,9.1,7.82,8.7,7.87,6.2,7.85,6.2,increase tub 6 0.3f
2025-01-03 00:00:00,7.53,6.2,7.84,9.1,7.64,9.2,7.65,6.1,7.52,9.2,7.8,9.3,7.86,6.1,7.82,6.2,
2025-01-06 00:00:00,7.58,6.2,7.82,9.6,7.64,9.6,7.68,6.2,7.59,9.2,7.83,9.2,7.88,6.1,7.85,6.2,decrease 755ph by 0.02
2025-01-08 00:00:00,7.54,6.3,7.83,9.6,7.66,9.1,7.68,6.1,7.53,9.4,7.8,9.3,,,7.85,6.5,decreased 7.65 by .01
2025-01-10 00:00:00,7.54,6.3,7.84,9.6,7.63,9.7,7.67,6.2,7.53,9.4,7.83,9.1,,,7.84,6.2,
2025-01-13 00:00:00,7.57,6.1,7.83,9.3,7.65,9.3,7.65,6.1,7.59,9.3,7.85,9.1,,,7.87,6.1,
2025-01-15 00:00:00,7.54,6.1,7.85,9.2,7.64,9.7,7.65,6.1,7.55,9.3,7.82,9.1,,,7.86,6.1,"tub 3 is on heating cycle, fine"
2025-01-17 00:00:00,7.55,6,7.87,9.2,7.65,9.3,7.67,6,7.53,9.3,7.83,8.6,,,7.88,6.1,increase tub 6 temp by 0.3f
2025-01-21 00:00:00,7.55,6,7.84,8.7,7.65,8.7,7.68,6.6,7.55,8.8,7.84,8.4,,,7.87,6.8,
2025-01-24 00:00:00,7.55,6.3,7.81,10.6,7.61,9.4,7.65,6.2,7.57,9.3,8.82,8.8,,,7.83,6.3,
2025-01-27 00:00:00,7.59,6.2,7.82,10.1,7.62,9.6,7.7,6.1,7.56,9.3,7.83,9.2,,,7.85,6.1,decrease tub 2 temp by 0.5f
2025-01-29 00:00:00,7.52,5.8,7.8,9.6,7.62,9.3,7.65,5.7,7.56,9.3,7.83,8.6,,,7.84,5.7,
2025-01-31 00:00:00,7.57,5.2,7.82,9.1,7.62,9.2,7.7,5.1,7.49,9.4,7.78,9.9,,,7.84,5.1,"increase 7.85 ph by 0.02, decrease temps of tubs 2, 3, 5 by 0.7f, decrease tub 6 temp by 1.1F"
2025-02-03 00:00:00,7.59,5.2,7.79,9.5,7.64,9,7.71,5.2,7.56,9.6,7.83,9.5,,,7.88,5.1,
2025-02-05 00:00:00,7.52,5.4,7.82,8.8,7.62,9.7,7.66,5.3,7.5,8,7.84,7.9,,,7.84,5.3,"decrease temps of tub 3 and tub 2, increase ph of 7.55 by 0.02"
2025-02-07 00:00:00,7.52,5.4,7.84,9,7.63,9.8,7.63,5.4,7.58,8.6,7.84,8.8,,,7.85,5.3,"decrease temp on tub 3 by 1f, tub 2 by 0.2f"
2025-02-10 00:00:00,7.53,5.6,7.82,8.3,7.62,8.3,7.63,5.6,7.51,8.3,7.81,9.3,,,7.83,5.5,
2025-02-12 00:00:00,7.54,5.4,7.81,8.2,7.64,8.5,7.67,5.4,7.56,8.3,7.83,8.5,,,7.85,5.5,
2025-02-14 00:00:00,7.54,5.9,7.84,8,7.63,8.3,7.65,5.9,7.52,8.4,7.86,9,,,7.82,5.8,
2025-02-17 00:00:00,7.58,5.2,7.87,9.1,7.67,9.4,7.7,5.3,7.55,9,7.89,7.4,,,7.94,5.3,
2025-02-19 00:00:00,7.57,5.6,7.9,8.2,7.7,8.3,7.73,5.6,7.59,8.3,7.84,8.7,,,7.91,5.5,"decrease 7.55 ph by 0.02, 7.65 ph by 0.03"
2025-02-21 00:00:00,7.54,5.6,7.91,8.3,7.63,8.5,7.63,5.7,7.54,7.7,7.82,7.9,,,7.83,5.7,
2025-02-25 00:00:00,7.6,5.4,7.91,7.7,7.66,8.2,7.7,5.4,7.55,7.9,7.86,9,,,7.9,5.4,"decrease tub 6 temp by 0.4f, increase tub 5 temp by 1f, increase tub 3 temp by 0.2f, decrease ph 7.65 by 0.02, increase tub 2 temp by 0.3f"
2025-02-26 00:00:00,7.57,5.6,7.88,8,7.63,8.4,7.66,5.6,7.56,8.7,7.83,8.8,,,7.87,5.6,
2025-02-28 00:00:00,7.63,5.2,7.94,8.6,7.69,8,7.7,5.5,7.57,8.8,7.88,8.6,,,7.87,5.7,"7.85 down 0.01, 7.65 down 0.02, 7.55 down 0.01"
2025-03-03 00:00:00,7.62,5.8,7.92,9.1,7.63,8.2,7.69,5.5,7.56,9,7.87,7.6,,,7.89,5.6,
2025-03-05 00:00:00,7.62,5.8,7.92,8.3,7.66,8.7,7.7,5.5,7.57,9.5,7.88,8.7,,,7.92,5.6,
2025-03-07 00:00:00,7.57,5.8,7.85,9.2,7.63,9.2,7.65,5.6,7.55,9.1,7.84,8.2,,,7.9,5.7,tub 2 --> down 3 degrees F
2025-03-10 00:00:00,7.58,5.8,7.89,9.6,7.62,8,7.65,5.6,7.55,9.3,7.82,9.7,,,7.87,5.6,
2025-03-12 00:00:00,7.62,5.6,7.9,8.7,7.64,8.6,7.68,5.4,7.56,8.8,7.85,9.2,,,7.9,5.4,
2025-03-14 00:00:00,7.58,5.5,7.9,8.3,7.63,8.5,7.65,5.4,7.56,9,7.83,8.8,,,7.87,5.5,
2025-03-17 00:00:00,7.6,5.7,7.92,8.8,7.65,8,7.69,5.5,7.57,9,7.86,7.4,,,7.91,5.4,"tub 1 down .01, tub 8 down .01, tub 6 up .3 F"
2025-03-19 00:00:00,7.61,5.7,7.92,8.2,7.69,7.8,7.7,5.6,7.58,8.4,7.87,8.1,,,7.92,5.6,
2025-03-21 00:00:00,7.6,5.5,7.93,6.8,7.68,7.1,7.69,5.5,7.57,8.4,7.88,7.8,,,7.89,5.5,"tub 2 up 1 F, tub 3 up 1 F"
2025-03-24 00:00:00,7.61,5.9,7.93,8.6,7.68,8.3,7.69,5.9,7.6,8.5,7.89,8.5,,,7.9,5.8,
2025-03-26 00:00:00,7.58,5.9,7.91,8.6,7.63,8.3,7.7,5.9,7.56,8.4,7.84,7.8,,,7.88,5.9,tub 6 up .5F
2026-03-28 00:00:00,7.61,5.8,7.91,7.9,7.64,8.1,7.71,5.7,7.57,8.2,7.86,8.1,,,7.92,5.8,tub 2 up .3F
2025-03-31 00:00:00,7.65,6,7.93,8,7.66,8.2,7.75,5.9,7.59,8.2,7.86,8.3,,,7.96,5.9,
2025-04-02 00:00:00,7.55,6.3,7.89,8,7.62,7.5,7.61,6.1,7.57,8.3,7.85,9.2,,,7.88,6.2,tub 1 and 3 up .5 and 1.5.
2025-04-04 00:00:00,7.57,6.2,7.88,8.2,7.65,8,7.66,6,7.55,8.3,7.86,8.1,,,7.91,6,
2008-04-07 00:00:00,7.57,6.2,7.89,8.3,7.66,7.9,7.68,6.1,7.52,8.4,7.85,7.9,,,7.91,6.1,tub 3 up .5f
2025-04-09 00:00:00,7.58,6.1,7.92,8.3,7.69,8.2,7.68,6,7.57,8.2,7.87,8.2,,,7.91,6,up .3 F on all
2025-04-11 00:00:00,7.58,6.2,7.91,8.8,7.68,8.3,7.72,6.1,7.55,8,7.87,8,,,7.91,6.1,up .3 on all temp
2025-04-14 00:00:00,7.63,6,7.91,9.1,7.66,9.1,7.81,5.8,7.53,8.3,7.87,8.2,,,7.95,5.7,replaced probe in 7.65
2025-04-16 00:00:00,7.59,6.1,7.91,8.3,7.65,8.3,7.66,6,7.56,8.3,7.88,8.4,,,7.91,6,up .3F on all
2025-04-18 00:00:00,7.66,6.2,7.91,8.8,7.67,8.1,7.72,5.9,7.59,8.8,7.9,8.3,,,7.97,5.9,up .2F on all but t5
2025-04-21 00:00:00,7.59,6.1,7.92,8.8,7.69,8.6,7.68,6.2,7.59,8.4,7.89,8.6,,,7.91,6.2,tub 5 up .2f
2025-04-23 00:00:00,7.52,6.3,7.94,9.3,7.67,8.7,7.68,6.3,7.49,8.9,7.88,8.3,,,7.92,6.3,tub 6 up .3f
2025-04-25 00:00:00,7.54,6.7,7.94,9.3,7.71,8.5,7.71,6.6,7.51,9,7.9,8.4,,,7.93,6.6,tub 3 and 6 up .2f
2025-04-28 00:00:00,7.56,6.8,7.97,8.7,7.68,9,7.71,6.6,7.51,9.5,7.87,9,,,7.92,6.7,"tub 2 up .2, tub 3 up .1,"
2025-04-30 00:00:00,7.56,7,7.99,9.3,7.73,9.1,7.71,6.9,7.51,9.3,7.88,9.3,,,7.93,6.9,up .1f on all
2025-05-02 00:00:00,7.52,6.9,7.96,9.6,7.68,9.4,7.71,6.9,7.48,9.6,7.89,9.3,,,7.94,6.8,
2025-05-05 00:00:00,7.5,6.9,7.98,8.8,7.68,8.9,7.71,6.7,7.47,9.6,7.87,8.8,,,7.91,6.7,"tub 2,3, 6 up .1f"
2025-05-07 00:00:00,7.54,7.2,7.99,9.3,7.7,9.3,7.7,7.2,7.52,9.3,7.87,9.1,,,7.91,7,up .2f on all
2025-05-09 00:00:00,7.55,7.3,8.05,9,7.7,8.8,7.73,7.3,7.51,9.2,7.9,8.5,,,7.94,7.1,up0.5 0n all
2025-05-12 00:00:00,7.51,7.6,8.04,9.1,7.71,9.3,7.72,7.5,7.49,9.7,7.86,9.5,,,7.93,7.5,up .2f on all
2025-05-14 00:00:00,7.53,7.6,8.04,9.9,7.7,9.1,7.73,7.5,7.47,9.6,7.89,9.5,,,7.95,7.5,up .2f on all
2025-05-16 00:00:00,7.5,7.6,8.01,10.8,7.7,9.9,7.72,7.5,7.47,10.2,7.9,10,,,7.92,2025-07-05 00:00:00,7.55 up .01ph
2025-05-19 00:00:00,7.52,7.7,8.01,10.6,7.71,9,7.73,7.8,7.51,10.6,7.92,9.6,,,7.94,7.8,tub 3 and 6up .2f
2025-05-21 00:00:00,7.54,7.6,8.01,9.7,7.73,9.3,7.76,7.6,7.55,10.1,7.92,9.9,,,7.97,7.6,
2025-05-23 00:00:00,7.52,7.8,7.94,9.6,7.69,9.6,7.69,7.7,7.49,9.7,7.9,9.9,,,7.95,7.7,up .3 on all but 6
2025-05-28 00:00:00,7.51,8,8.02,11.2,7.67,10.2,7.67,8,7.48,10,7.88,9.9,,,7.94,7.9,up .3f on all but tub2
2025-05-30 00:00:00,7.52,8.2,8.03,10.7,7.68,10,7.69,8,7.49,10,7.91,10.1,,,7.97,7.9,up .3f on all
2025-06-02 00:00:00,7.51,8.4,7.99,10.1,7.65,10.1,7.69,8.3,7.47,10.4,7.89,10,,,7.95,8.2,up.3f on all
2025-06-04 00:00:00,7.5,8.4,7.91,11.2,7.68,10.7,7.69,8.3,7.49,11,7.88,10.9,,,7.93,8.3,
2025-06-06 00:00:00,7.52,8.3,8,11.5,7.7,11,7.72,8.1,7.49,10.8,7.93,10.9,,,7.98,8.1,
2025-06-09 00:00:00,7.52,8.5,8.01,11.7,7.69,11.3,7.69,8.4,7.5,11.3,7.92,10.9,,,7.97,8.4,
2025-06-11 00:00:00,7.46,8.7,8.04,10.8,7.66,11.2,7.71,8.6,7.49,11,7.93,9.9,,,8,8.6,
2025-06-13 00:00:00,,,,,7.68,10.3,7.7,9,7.53,10.5,8.03,10.2,,,8.1,9,up 1f all.
2025-06-16 00:00:00,,,,,7.69,11.2,7.7,9.1,7.55,11.2,7.89,11,,,7.94,9.1,
,,,,,7.68,11,7.71,9.1,,,7.99,11.1,,,7.99,9.1,
